"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1533-2949로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 2021-01-01 ~ 2021-12-31"
"실거래구분 : 상업업무용(매매)"
"주소구분 : 지번주소"
"시도 : 서울특별시"
"시군구 : 강서구"
"읍면동 : 마곡동"
"면적 : 전체"
"금액선택 : 전체"
"NO","시군구","유형","지번","도로명","용도지역","건축물주용도","도로조건","전용/연면적(㎡)","대지면적(㎡)","거래금액(만원)","층","매수","매도","계약년월","계약일","지분구분","건축년도","해제사유발생일","거래유형","중개사소재지"
"1","서울특별시 강서구 마곡동","집합","7**","","준주거","업무","-","32.56"," ","25,000","","-","-","202112","31","","2019","-","중개거래","서울 강서구 서울 영등포구"
"2","서울특별시 강서구 마곡동","집합","7**","마곡중앙6로","일반상업","업무","25m미만","59.77"," ","41,800","9","-","-","202112","31","","2018","-","중개거래",", 서울 강서구"
"3","서울특별시 강서구 마곡동","집합","7**","마곡서로","준주거","업무","25m미만","30.60"," ","24,400","5","-","-","202112","29","","2019","-","중개거래","서울 용산구"
"4","서울특별시 강서구 마곡동","집합","7**","마곡서로","준주거","업무","25m미만","31.45"," ","25,100","5","-","-","202112","29","","2019","-","중개거래","서울 용산구"
"5","서울특별시 강서구 마곡동","집합","7**","마곡중앙6로","일반상업","업무","-","38.22"," ","24,500","10","-","-","202112","29","","2017","-","중개거래","서울 강서구"
"6","서울특별시 강서구 마곡동","집합","8**","공항대로","일반상업","업무","-","34.82"," ","20,700","6","-","-","202112","28","","2018","-","중개거래","서울 강서구"
"7","서울특별시 강서구 마곡동","집합","7**","공항대로","일반상업","업무","-","35.52"," ","25,500","8","-","-","202112","27","","2018","-","중개거래","서울 강서구"
"8","서울특별시 강서구 마곡동","집합","7**","공항대로","일반상업","업무","-","32.56"," ","23,000","12","-","-","202112","24","","2019","-","중개거래","서울 강서구"
"9","서울특별시 강서구 마곡동","집합","8**","공항대로","일반상업","업무","-","47.80"," ","27,800","10","-","-","202112","23","","2018","-","중개거래","서울 강서구"
"10","서울특별시 강서구 마곡동","집합","7**","마곡중앙로","준주거","업무","-","35.52"," ","24,500","5","-","-","202112","23","","2019","-","중개거래","서울 강서구"
"11","서울특별시 강서구 마곡동","집합","7**","마곡중앙로","준주거","업무","-","35.52"," ","24,500","5","-","-","202112","23","","2019","-","중개거래","서울 강서구"
"12","서울특별시 강서구 마곡동","집합","7**","마곡중앙로","","업무","-","35.52"," ","24,500","5","-","-","202112","23","","2019","20220112","중개거래","서울 강서구"
"13","서울특별시 강서구 마곡동","집합","7**","마곡중앙로","","업무","-","35.52"," ","24,500","5","-","-","202112","23","","2019","20220112","중개거래","서울 강서구"
"14","서울특별시 강서구 마곡동","집합","7**","마곡중앙4로","준주거","업무","-","35.15"," ","26,000","","-","-","202112","22","","2019","-","중개거래","서울 강서구"
"15","서울특별시 강서구 마곡동","집합","7**","공항대로","일반상업","업무","-","37.24"," ","22,500","8","-","-","202112","22","","2018","-","중개거래","서울 강서구"
"16","서울특별시 강서구 마곡동","집합","7**","마곡서로","일반상업","업무","-","32.14"," ","27,000","","-","-","202112","20","","2017","-","중개거래","서울 강서구"
"17","서울특별시 강서구 마곡동","집합","7**","마곡서로","일반상업","업무","-","35.64"," ","29,000","","-","-","202112","20","","2017","-","중개거래","서울 강서구"
"18","서울특별시 강서구 마곡동","집합","7**","마곡중앙로","일반상업","업무","-","38.52"," ","26,500","12","-","-","202112","20","","2017","-","중개거래","서울 강서구"
"19","서울특별시 강서구 마곡동","집합","7**","마곡중앙1로","준주거","업무","-","42.75"," ","34,000","7","-","-","202112","20","","2019","-","중개거래","서울 강서구"
"20","서울특별시 강서구 마곡동","집합","7**","마곡중앙1로","준주거","업무","-","50.32"," ","38,000","7","-","-","202112","20","","2019","-","중개거래","서울 강서구"
"21","서울특별시 강서구 마곡동","집합","7**","방화대로","일반상업","제1종근린생활","25m이상","95.16"," ","34,000","2","-","-","202112","20","지분","0000","-","직거래","-"
"22","서울특별시 강서구 마곡동","집합","7**","마곡중앙5로","일반상업","판매","-","22.15"," ","27,000","","-","-","202112","18","","2017","-","중개거래","서울 강서구"
"23","서울특별시 강서구 마곡동","집합","7**","마곡중앙5로1길","일반상업","업무","-","30.36"," ","18,500","10","-","-","202112","18","","2017","-","중개거래","서울 강서구"
"24","서울특별시 강서구 마곡동","집합","7**","마곡중앙5로","일반상업","판매","-","89.42"," ","133,000","","-","-","202112","18","","2017","-","중개거래","서울 강서구"
"25","서울특별시 강서구 마곡동","집합","7**","공항대로","일반상업","업무","-","43.90"," ","24,500","9","-","-","202112","18","","2017","-","중개거래","서울 강서구"
"26","서울특별시 강서구 마곡동","집합","7**","마곡중앙4로","준주거","업무","-","33.66"," ","25,200","","-","-","202112","17","","2019","-","중개거래","서울 강서구"
"27","서울특별시 강서구 마곡동","집합","8**","공항대로","일반상업","업무","-","47.46"," ","28,500","9","-","-","202112","16","","2018","-","중개거래","서울 강서구"
"28","서울특별시 강서구 마곡동","집합","8**","공항대로","일반상업","업무","-","49.72"," ","29,000","9","-","-","202112","16","","2018","-","중개거래","서울 강서구"
"29","서울특별시 강서구 마곡동","집합","8**","공항대로","일반상업","업무","-","36.36"," ","28,000","","-","-","202112","15","","2018","-","중개거래","서울 강서구"
"30","서울특별시 강서구 마곡동","집합","8**","공항대로","일반상업","업무","-","36.36"," ","28,000","","-","-","202112","15","","2018","-","중개거래","서울 강서구"
"31","서울특별시 강서구 마곡동","집합","7**","마곡중앙6로","일반상업","제2종근린생활","-","49.69"," ","35,000","4","-","-","202112","14","","2017","-","중개거래","서울 강서구"
"32","서울특별시 강서구 마곡동","집합","7**","마곡중앙6로","일반상업","업무","-","55.20"," ","36,000","6","-","-","202112","14","","2018","-","중개거래","서울 강서구"
"33","서울특별시 강서구 마곡동","집합","7**","마곡중앙6로","일반상업","업무","-","55.20"," ","36,000","6","-","-","202112","14","","2018","20220224","중개거래","서울 강서구"
"34","서울특별시 강서구 마곡동","집합","7**","마곡중앙로","일반상업","업무","-","28.12"," ","18,500","","-","-","202112","14","","2017","-","중개거래","서울 강서구"
"35","서울특별시 강서구 마곡동","집합","7**","마곡중앙6로","일반상업","업무","-","55.20"," ","36,000","6","-","-","202112","14","","2018","-","중개거래","서울 강서구"
"36","서울특별시 강서구 마곡동","집합","7**","마곡중앙1로","준주거","업무","-","79.07"," ","37,000","7","-","-","202112","14","","2016","-","중개거래","서울 강서구"
